date,value,geo,nace_r2,s_adj,unit,indic_bt,loaded_at
1994-01-01,64.8,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1994-02-01,62.7,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1994-03-01,69.8,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1994-04-01,68.0,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1994-05-01,66.1,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1994-06-01,62.6,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1994-07-01,64.1,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1994-08-01,63.3,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1994-09-01,66.3,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1994-10-01,68.9,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1994-11-01,71.1,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1994-12-01,86.2,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1995-01-01,64.8,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1995-02-01,64.3,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1995-03-01,70.7,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1995-04-01,69.1,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1995-05-01,68.9,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1995-06-01,64.8,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1995-07-01,65.8,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1995-08-01,64.4,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1995-09-01,66.6,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1995-10-01,68.8,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1995-11-01,72.2,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1995-12-01,84.9,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1996-01-01,65.6,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1996-02-01,63.2,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1996-03-01,69.7,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1996-04-01,70.5,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1996-05-01,68.0,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1996-06-01,63.6,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1996-07-01,66.5,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1996-08-01,64.3,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1996-09-01,67.2,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1996-10-01,69.6,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1996-11-01,72.1,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1996-12-01,84.0,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1997-01-01,66.7,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1997-02-01,62.9,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1997-03-01,69.4,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1997-04-01,69.3,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1997-05-01,67.4,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1997-06-01,64.1,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1997-07-01,65.7,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1997-08-01,61.9,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1997-09-01,65.4,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1997-10-01,70.2,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1997-11-01,71.0,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1997-12-01,83.5,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1998-01-01,65.5,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1998-02-01,62.7,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1998-03-01,70.9,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1998-04-01,69.2,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1998-05-01,68.2,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1998-06-01,63.0,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1998-07-01,66.9,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1998-08-01,63.5,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1998-09-01,65.9,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1998-10-01,69.3,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1998-11-01,73.1,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1998-12-01,84.6,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1999-01-01,65.9,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1999-02-01,62.9,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1999-03-01,70.9,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1999-04-01,69.0,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1999-05-01,67.7,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1999-06-01,63.9,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1999-07-01,66.2,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1999-08-01,64.6,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1999-09-01,64.8,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1999-10-01,70.5,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1999-11-01,72.3,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
1999-12-01,85.1,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2000-01-01,66.2,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2000-02-01,64.7,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2000-03-01,71.1,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2000-04-01,71.5,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2000-05-01,70.9,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2000-06-01,65.1,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2000-07-01,67.8,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2000-08-01,65.6,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2000-09-01,67.5,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2000-10-01,71.3,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2000-11-01,73.5,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2000-12-01,85.5,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2001-01-01,68.3,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2001-02-01,64.3,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2001-03-01,72.7,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2001-04-01,72.4,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2001-05-01,71.7,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2001-06-01,66.6,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2001-07-01,68.8,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2001-08-01,66.3,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2001-09-01,68.3,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2001-10-01,70.7,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2001-11-01,74.5,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2001-12-01,84.7,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2002-01-01,65.6,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2002-02-01,62.9,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2002-03-01,71.0,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2002-04-01,71.4,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2002-05-01,70.0,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2002-06-01,64.5,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2002-07-01,67.8,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2002-08-01,65.0,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2002-09-01,67.8,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2002-10-01,71.4,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2002-11-01,71.7,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2002-12-01,82.7,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2003-01-01,65.1,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
